
Enter racer file: mario_kart_8.txt

Interval 1

Enter racer's name: Luigi
Enter updated distance: 45.7

Enter racer's name: Waluigi
Enter updated distance: 40.9

Enter racer's name: Link
Enter updated distance: 46.1

Enter racer's name: Peach
Enter updated distance: 40.7

Enter racer's name: Toad
Enter updated distance: 43.4

Enter racer's name: ShyGuy
Enter updated distance: 45.6

Enter racer's name: KoopaTroopa
Enter updated distance: 47

Enter racer's name: Daisy
Enter updated distance: 44.7

Enter racer's name: Bowser
Enter updated distance: 46.6

Enter racer's name: Yoshi
Enter updated distance: 48

Enter racer's name: Mario
Enter updated distance: 43.3

Enter racer's name: DiddyKong
Enter updated distance: 41.7

Enter racer's name: KingBoo
Enter updated distance: 49.6

Enter racer's name: Rosalina
Enter updated distance: 48.5

Enter racer's name: BowserJr
Enter updated distance: 49.1

Enter racer's name: Wario
Enter updated distance: 48.4

Enter racer's name: DonkeyKong
Enter updated distance: 48


Interval 2

Enter racer's name: Luigi
Enter updated distance: 36.3

Enter racer's name: Rosalina
Enter updated distance: 48.5

Enter racer's name: Wario
Enter updated distance: 39.2

Enter racer's name: Peach
Enter updated distance: 40.5

Enter racer's name: Toad
Enter updated distance: 35.2

Enter racer's name: Waluigi
Enter updated distance: 37.3

Enter racer's name: Bowser
Enter updated distance: 46.2

Enter racer's name: Daisy
Enter updated distance: 39.4

Enter racer's name: KoopaTroopa
Enter updated distance: 44.9

Enter racer's name: ShyGuy
Enter updated distance: 44.9

Enter racer's name: Mario
Enter updated distance: 43.3

Enter racer's name: DiddyKong
Enter updated distance: 33.3

Enter racer's name: KingBoo
Enter updated distance: 44.2

Enter racer's name: Yoshi
Enter updated distance: 47.8

Enter racer's name: DONE

Interval 3

Enter racer's name: Luigi
Enter updated distance: 28.1

Enter racer's name: DonkeyKong
Enter updated distance: 44

Enter racer's name: KingBoo
Enter updated distance: 39.9

Enter racer's name: Peach
Enter updated distance: 35.6

Enter racer's name: Rosalina
Enter updated distance: 41.1

Enter racer's name: Waluigi
Enter updated distance: 34.8

Enter racer's name: Bowser
Enter updated distance: 46.2

Enter racer's name: Yoshi
Enter updated distance: 43.8

Enter racer's name: KoopaTroopa
Enter updated distance: 43.6

Enter racer's name: DiddyKong
Enter updated distance: 24

Enter racer's name: ShyGuy
Enter updated distance: 41.6

Enter racer's name: DONE

Interval 4

Enter racer's name: Peach
Enter updated distance: 32.2

Enter racer's name: DONE

Interval 5

Enter racer's name: Peach
Enter updated distance: 27.6

Enter racer's name: Luigi
Enter updated distance: 24

Enter racer's name: Yoshi
Enter updated distance: 38.6

Enter racer's name: Mario
Enter updated distance: 33.4

Enter racer's name: Wario
Enter updated distance: 37

Enter racer's name: ShyGuy
Enter updated distance: 38.2

Enter racer's name: Waluigi
Enter updated distance: 32.9

Enter racer's name: KingBoo
Enter updated distance: 31.5

Enter racer's name: KoopaTroopa
Enter updated distance: 35.9

Enter racer's name: Rosalina
Enter updated distance: 31.3

Enter racer's name: DiddyKong
Enter updated distance: 21.4

Enter racer's name: Toad
Enter updated distance: 31.8

Enter racer's name: DONE

Interval 6

Enter racer's name: Link
Enter updated distance: 44.4

Enter racer's name: Bowser
Enter updated distance: 40.1

Enter racer's name: DiddyKong
Enter updated distance: 14.7

Enter racer's name: Mario
Enter updated distance: 24.3

Enter racer's name: Peach
Enter updated distance: 22.2

Enter racer's name: ShyGuy
Enter updated distance: 33.1

Enter racer's name: Waluigi
Enter updated distance: 26.6

Enter racer's name: Daisy
Enter updated distance: 31.7

Enter racer's name: KoopaTroopa
Enter updated distance: 26.7

Enter racer's name: Luigi
Enter updated distance: 21.8

Enter racer's name: Yoshi
Enter updated distance: 35.6

Enter racer's name: Toad
Enter updated distance: 31.4

Enter racer's name: BowserJr
Enter updated distance: 40.4

Enter racer's name: DonkeyKong
Enter updated distance: 34.1

Enter racer's name: Rosalina
Enter updated distance: 21.5

Enter racer's name: Wario
Enter updated distance: 33.8

Enter racer's name: DONE

Interval 7

Enter racer's name: DiddyKong
Enter updated distance: 7

Enter racer's name: Luigi
Enter updated distance: 12

Enter racer's name: KoopaTroopa
Enter updated distance: 19.9

Enter racer's name: Mario
Enter updated distance: 16.6

Enter racer's name: DONE

Interval 8

Enter racer's name: DiddyKong
Enter updated distance: 2.2

Enter racer's name: Mario
Enter updated distance: 9.3

